municipality,zip_code,ev_count
LONG POINT,61333,3
LOSTANT,61334,2
MC NABB,61335,0
MAGNOLIA,61336,0
MALDEN,61337,0
MANLIUS,61338,0
MARK,61340,0
MARSEILLES,61341,8
MENDOTA,61342,11
MINERAL,61344,1
NEPONSET,61345,1
NEW BEDFORD,61346,0
OGLESBY,61348,4
OHIO,61349,0
OTTAWA,61350,22
PAW PAW,61353,0
PERU,61354,12
PRINCETON,61356,6
RUTLAND,61358,0
SEATONVILLE,61359,1
SENECA,61360,6
SHEFFIELD,61361,1
SPRING VALLEY,61362,3
STANDARD,61363,0
STREATOR,61364,8
SUBLETTE,61367,2
TISKILWA,61368,0
TOLUCA,61369,2
TONICA,61370,1
TRIUMPH,61371,0
TROY GROVE,61372,0
UTICA,61373,5
VAN ORIN,61374,0
VARNA,61375,0
WALNUT,61376,5
WENONA,61377,0
WEST BROOKLYN,61378,1
WYANET,61379,0
GALESBURG,61401,18
GALESBURG,61402,1
ABINGDON,61410,1
ADAIR,61411,0
ALEXIS,61412,1
ALPHA,61413,0
ALTONA,61414,0
AVON,61415,0
BARDOLPH,61416,0
BERWICK,61417,0
BIGGSVILLE,61418,1
BISHOP HILL,61419,1
BLANDINSVILLE,61420,2
BRADFORD,61421,0
BUSHNELL,61422,1
CAMERON,61423,1
CAMP GROVE,61424,0
CARMAN,61425,0
CASTLETON,61426,0
CUBA,61427,1
DAHINDA,61428,3
EAST GALESBURG,61430,1
ELLISVILLE,61431,0
FAIRVIEW,61432,0
FIATT,61433,0
GALVA,61434,4
GERLAW,61435,0
GILSON,61436,2
GLADSTONE,61437,0
GOOD HOPE,61438,0
HENDERSON,61439,1
INDUSTRY,61440,0
IPAVA,61441,0
KEITHSBURG,61442,0
KEWANEE,61443,5
KIRKWOOD,61447,0
KNOXVILLE,61448,4
LA FAYETTE,61449,0
LA HARPE,61450,0
LAURA,61451,2
LITTLETON,61452,0
LITTLE YORK,61453,0
LOMAX,61454,0
MACOMB,61455,10
MAQUON,61458,0
MARIETTA,61459,0
MEDIA,61460,0
MONMOUTH,61462,5
NEW WINDSOR,61465,1
NORTH HENDERSON,61466,0
ONEIDA,61467,1
OPHIEM,61468,0
OQUAWKA,61469,2
PRAIRIE CITY,61470,0
RARITAN,61471,0
RIO,61472,0
ROSEVILLE,61473,0
SAINT AUGUSTINE,61474,0
SCIOTA,61475,0
SEATON,61476,0
SMITHFIELD,61477,0
SMITHSHIRE,61478,2
SPEER,61479,0
STRONGHURST,61480,0
TABLE GROVE,61482,0
TOULON,61483,2
VERMONT,61484,0
VICTORIA,61485,0
VIOLA,61486,0
WATAGA,61488,3
WILLIAMSFIELD,61489,0
WOODHULL,61490,1
WYOMING,61491,1
ASTORIA,61501,0
BENSON,61516,1
BRIMFIELD,61517,5
BRYANT,61519,0
CANTON,61520,6
CHILLICOTHE,61523,11
DUNFERMLINE,61524,0
DUNLAP,61525,58
EDELSTEIN,61526,4
EDWARDS,61528,15
ELMWOOD,61529,0
EUREKA,61530,6
FARMINGTON,61531,0
FOREST CITY,61532,0
GLASFORD,61533,2
GREEN VALLEY,61534,1
GROVELAND,61535,3
HANNA CITY,61536,1
HENRY,61537,0
KINGSTON MINES,61539,0
LACON,61540,1
LA ROSE,61541,0
LEWISTOWN,61542,1
LIVERPOOL,61543,0
LONDON MILLS,61544,0
LOWPOINT,61545,0
MANITO,61546,2
MAPLETON,61547,5
METAMORA,61548,21
MORTON,61550,55
MOSSVILLE,61552,0
NORRIS,61553,0
PEKIN,61554,29
PEKIN,61555,0
PEKIN,61558,0
PRINCEVILLE,61559,5
PUTNAM,61560,3
ROANOKE,61561,1
ROME,61562,0
SAINT DAVID,61563,0
SOUTH PEKIN,61564,0
SPARLAND,61565,3
TOPEKA,61567,1
TREMONT,61568,6
TRIVOLI,61569,0
WASHBURN,61570,3
WASHINGTON,61571,54
YATES CITY,61572,2
PEORIA,61601,0
PEORIA,61602,10
PEORIA,61603,10
PEORIA,61604,23
PEORIA,61605,2
PEORIA,61606,20
PEORIA,61607,14
CREVE COEUR,61610,0
EAST PEORIA,61611,52
PEORIA,61612,1
PEORIA,61613,0
PEORIA,61614,60
PEORIA,61615,95
PEORIA HEIGHTS,61616,5
PEORIA,61625,0
PEORIA,61629,0
PEORIA,61630,0
PEORIA,61633,0
PEORIA,61634,0
PEORIA,61635,1
PEORIA,61636,0
PEORIA,61637,0
PEORIA,61638,0
PEORIA,61639,0
PEORIA,61640,0
PEORIA,61641,0
PEORIA,61643,0
PEORIA,61650,0
PEORIA,61651,0
PEORIA,61652,0
PEORIA,61653,0
PEORIA,61654,0
PEORIA,61655,0
PEORIA,61656,2
BLOOMINGTON,61701,120
BLOOMINGTON,61702,0
BLOOMINGTON,61704,203
BLOOMINGTON,61709,0
BLOOMINGTON,61710,1
ANCHOR,61720,0
ARMINGTON,61721,1
ARROWSMITH,61722,0
ATLANTA,61723,0
BELLFLOWER,61724,1
CARLOCK,61725,2
CHENOA,61726,5
CLINTON,61727,11
COLFAX,61728,1
CONGERVILLE,61729,5
COOKSVILLE,61730,0
CROPSEY,61731,0
DANVERS,61732,3
DEER CREEK,61733,2
DELAVAN,61734,1
DEWITT,61735,1
DOWNS,61736,4
ELLSWORTH,61737,2
EL PASO,61738,8
FAIRBURY,61739,0
FLANAGAN,61740,0
FORREST,61741,2
GOODFIELD,61742,3
GRAYMONT,61743,0
GRIDLEY,61744,2
HEYWORTH,61745,10
HOPEDALE,61747,3
HUDSON,61748,7
KENNEY,61749,0
LANE,61750,0
LAWNDALE,61751,0
LE ROY,61752,1
LEXINGTON,61753,5
MC LEAN,61754,1
MACKINAW,61755,2
MAROA,61756,4
MERNA,61758,0
MINIER,61759,1
MINONK,61760,2
NORMAL,61761,170
PONTIAC,61764,13
SAUNEMIN,61769,1
SAYBROOK,61770,2
SECOR,61771,0
SHIRLEY,61772,0
SIBLEY,61773,0
STANFORD,61774,0
STRAWN,61775,1
TOWANDA,61776,5
WAPELLA,61777,2
WAYNESVILLE,61778,0
NORMAL,61790,0
BLOOMINGTON,61791,0
BLOOMINGTON,61799,0
URBANA,61801,48
URBANA,61802,48
URBANA,61803,0
ALLERTON,61810,0
ALVIN,61811,0
ARMSTRONG,61812,0
BEMENT,61813,0
BISMARCK,61814,0
BONDVILLE,61815,0
BROADLANDS,61816,1
CATLIN,61817,0
CERRO GORDO,61818,2
CHAMPAIGN,61820,49
CHAMPAIGN,61821,63
CHAMPAIGN,61822,137
CHAMPAIGN,61824,0
CHAMPAIGN,61825,2
CHAMPAIGN,61826,1
CISCO,61830,0
COLLISON,61831,1
DANVILLE,61832,17
TILTON,61833,1
DANVILLE,61834,9
DE LAND,61839,0
DEWEY,61840,1
FAIRMOUNT,61841,1
FARMER CITY,61842,0
FISHER,61843,4
FITHIAN,61844,3
FOOSLAND,61845,0
GEORGETOWN,61846,3
GIFFORD,61847,2
HENNING,61848,0
HOMER,61849,1
INDIANOLA,61850,0
IVESDALE,61851,0
LONGVIEW,61852,1
MAHOMET,61853,48
MANSFIELD,61854,0
MILMINE,61855,0
MONTICELLO,61856,14
MUNCIE,61857,0
OAKWOOD,61858,3
OGDEN,61859,3
PENFIELD,61862,1
PESOTUM,61863,0
PHILO,61864,4
POTOMAC,61865,1
RANTOUL,61866,5
RIDGE FARM,61870,0
ROYAL,61871,0
SADORUS,61872,0
SAINT JOSEPH,61873,7
SAVOY,61874,34
SEYMOUR,61875,1
SIDELL,61876,1
SIDNEY,61877,3
THOMASBORO,61878,2
TOLONO,61880,3
WELDON,61882,0
WESTVILLE,61883,3
WHITE HEATH,61884,4
ARCOLA,61910,1
ARTHUR,61911,6
ASHMORE,61912,0
ATWOOD,61913,0
BETHANY,61914,0
BROCTON,61917,0
CAMARGO,61919,1
CHARLESTON,61920,19
CHRISMAN,61924,0
DALTON CITY,61925,2
GAYS,61928,2
HAMMOND,61929,0
HINDSBORO,61930,0
HUMBOLDT,61931,0
HUME,61932,0
KANSAS,61933,0
LA PLACE,61936,0
LOVINGTON,61937,1
MATTOON,61938,21
METCALF,61940,0
MURDOCK,61941,0
NEWMAN,61942,1
OAKLAND,61943,0
PARIS,61944,20
REDMON,61949,0
SULLIVAN,61951,5
TUSCOLA,61953,7
VERMILION,61955,0
VILLA GROVE,61956,4
WINDSOR,61957,3
ALHAMBRA,62001,2
ALTON,62002,39
BATCHTOWN,62006,0
BENLD,62009,1
BETHALTO,62010,14
BINGHAM,62011,0
BRIGHTON,62012,8
BRUSSELS,62013,0
BUNKER HILL,62014,0
BUTLER,62015,1
CARROLLTON,62016,1
COFFEEN,62017,0
COTTAGE HILLS,62018,1
DONNELLSON,62019,1
DORSEY,62021,1
DOW,62022,1
EAGARVILLE,62023,0
EAST ALTON,62024,10
EDWARDSVILLE,62025,119
EDWARDSVILLE,62026,0
ELDRED,62027,0
ELSAH,62028,1
FIDELITY,62030,0
FIELDON,62031,0
FILLMORE,62032,0
GILLESPIE,62033,4
GLEN CARBON,62034,62
GODFREY,62035,20
GOLDEN EAGLE,62036,1
GRAFTON,62037,4
GRANITE CITY,62040,35
GREENFIELD,62044,1
HAMBURG,62045,0
HAMEL,62046,4
HARDIN,62047,1
HARTFORD,62048,2
HILLSBORO,62049,4
HILLVIEW,62050,0
IRVING,62051,0
JERSEYVILLE,62052,12
KAMPSVILLE,62053,0
KANE,62054,0
LITCHFIELD,62056,8
LIVINGSTON,62058,0
LOVEJOY,62059,1
MADISON,62060,2
MARINE,62061,2
MARYVILLE,62062,27
MEDORA,62063,1
MICHAEL,62065,0
MORO,62067,4
MOUNT OLIVE,62069,3
MOZIER,62070,0
NATIONAL STOCK YARDS,62071,0
NEW DOUGLAS,62074,0
NOKOMIS,62075,0
OHLMAN,62076,0
PANAMA,62077,0
PATTERSON,62078,0
PIASA,62079,0
RAMSEY,62080,1
ROCKBRIDGE,62081,0
ROODHOUSE,62082,0
ROSAMOND,62083,0
ROXANA,62084,0
SAWYERVILLE,62085,0
SORENTO,62086,0
SOUTH ROXANA,62087,1
STAUNTON,62088,11
TAYLOR SPRINGS,62089,0
VENICE,62090,1
WALSHVILLE,62091,0
WHITE HALL,62092,0
WILSONVILLE,62093,0
WITT,62094,1
WOOD RIVER,62095,8
WORDEN,62097,0
WRIGHTS,62098,0
EAST SAINT LOUIS,62201,1
EAST SAINT LOUIS,62202,0
EAST SAINT LOUIS,62203,1
EAST SAINT LOUIS,62204,0
EAST SAINT LOUIS,62205,2
EAST SAINT LOUIS,62206,5
EAST SAINT LOUIS,62207,0
